date,high,low,open,close,volume,quoteVolume,weightedAverage
2016-12-22 20:00:00,862,856,860.4066897,860.8,44253.14635,51.47322289,859.7314071
2016-12-23 00:00:00,900,859.476103,860.5,900,206191.4153,233.1542366,884.3562886
2016-12-23 04:00:00,909,889.5562444,899.9851731,906,321756.3369,357.2643532,900.6113653
2016-12-23 08:00:00,910,895.1288762,906.0000011,908.918716,231072.911,256.0414047,902.4825938
2016-12-23 12:00:00,912.6586437,841.89485,908.7999988,844,350647.2589,393.2954194,891.5620209
2016-12-23 16:00:00,900,841.89485,844,890.8000001,473374.7274,538.4498203,879.143626
2016-12-23 20:00:00,920,890.8000016,891.1104202,918.9056166,204084.2047,224.327592,909.7597082
2016-12-24 00:00:00,918.9056164,902.938006,917.0000001,906,132794.4756,145.4717835,912.8538362
2016-12-24 04:00:00,913.358,905,905.5002022,907.8639096,49150.97175,54.01570589,909.9385251
2016-12-24 08:00:00,907.9,884.8629257,907.9,897.0000105,206356.059,230.7193968,894.4027325
2016-12-24 12:00:00,898.7999899,880,897.0000106,891.172282,250841.1914,282.6166246,887.5670064
2016-12-24 16:00:00,903.4344591,886.700001,891.172282,903.1508203,65649.3298,73.23199829,896.456895
2016-12-24 20:00:00,906.6256664,890.002,903.4344591,893.6096665,123814.1563,137.5772386,899.9610515
2016-12-25 00:00:00,894.4332223,867.8533444,893.5464016,870.9971301,212130.8952,241.4455642,878.5868399
2016-12-25 04:00:00,876.1234827,865,870.9971318,868,139827.6067,160.6460692,870.4078936
2016-12-25 08:00:00,871.3329988,850.8836934,869,866.2882077,369024.8199,428.5357647,861.1295725
2016-12-25 12:00:00,887,861.4983781,868.7897907,882,328495.9825,375.680897,874.4016135
2016-12-25 16:00:00,894,877.4894701,881.3340353,892.9999989,159674.894,180.524574,884.5050314
2016-12-25 20:00:00,899.4894643,891.206,892.9999989,896.3544482,182498.0964,203.6470025,896.1491901
2016-12-26 00:00:00,916.49,895.6942093,895.99,902.2310012,273707.9652,301.3380981,908.3085309
2016-12-26 04:00:00,906.1402636,897.6245397,904,903.1764414,95272.38486,105.7793019,900.6713335
2016-12-26 08:00:00,905,886.3237195,901.0300422,895.0376149,149607.9911,167.2264828,894.642933
2016-12-26 12:00:00,907,892.45,896.0376149,905.094,109914.7891,121.6138033,903.8019213
