date,volume,open,high,low,close,quoteVolume,weightedAverage,Average Computing Power
2015/5/30,10.13073056,237.3546667,238,234.326575,234.326575,0.04284466,236.452584,3.17E+17
2015/5/31,37.80401453,234.326575,241,233,233,0.16125151,234.4413056,3.51E+17
2015/6/1,75.92108586,233,239.9799959,231.3378146,231.3378146,0.32609443,232.8193274,3.44E+17
2015/6/2,157.2901803,230.8399976,234.9999997,223,232.9999998,0.68955954,228.1023917,3.29E+17
2015/6/3,64.01656863,225.0000035,233,224,233,0.28188403,227.1025025,3.55E+17
2015/6/4,13.93599046,229,229,225,225,0.06099114,228.4920475,3.31E+17
2015/6/5,8.14584367,225,229,225,229,0.03601151,226.2011138,3.43E+17
2015/6/6,23.68322609,224.0000168,227.0000001,224.0000168,226.9999984,0.10459579,226.4261888,3.68E+17
2015/6/7,282.7474148,226.9999984,243,225,230,1.18758216,238.0866136,3.93E+17
2015/6/8,4.62412547,226,229.999999,226,229.999999,0.02010675,229.9787624,3.48E+17
2015/6/9,48.57459771,235,237,230,230,0.20923048,232.1583247,3.71E+17
2015/6/10,136.5113567,237,238,230,237,0.59051532,231.1732687,3.74E+17
2015/6/11,21.77331682,229,239.9989999,229,239.9989999,0.09268559,234.9158788,3.85E+17
2015/6/12,12.05289186,229.5,239.9989999,229,230,0.05144691,234.2782466,3.22E+17
2015/6/13,44.03222386,239.99899,239.9989999,231,239.9989999,0.18351719,239.9351465,3.56E+17
2015/6/14,1.57189746,232.5,239,232.5,239,0.00675124,232.8309259,3.85E+17
2015/6/15,59.97970517,234,237.5,234,237,0.25462051,235.5650971,3.64E+17
2015/6/16,95.7334639,237,241.8,234.32,234.32,0.40351195,237.2506289,3.23E+17
2015/6/17,357.9299891,234.32,250,234.32,250,1.43872702,248.7824195,3.28E+17
2015/6/18,268.4843365,245,254,245,252.7606784,1.06789551,251.4144259,3.88E+17
2015/6/19,913.0028473,250,256.6434601,243.0141492,249.9999999,3.66859856,248.8696521,3.88E+17
2015/6/20,413.7327859,244.9338378,249.9999999,238,241.704225,1.68915676,244.9345115,3.45E+17
2015/6/21,198.2695948,240.197175,246.5,238.7461178,246.5,0.8273664,239.6394086,3.18E+17
2015/6/22,270.6472736,246.5,250.955625,243.1814562,245,1.0914623,247.9675877,3.44E+17
2015/6/23,17.84842109,249,249,244,244,0.07314186,244.0247088,3.59E+17
2015/6/24,2044.617332,246.7871,247.85175,233.7944656,237.1443736,8.4918282,240.7746935,3.77E+17
2015/6/25,265.9941517,238.63595,245.497729,238.63595,244.2575029,1.08950831,244.1414621,3.76E+17
2015/6/26,35.3613774,244.0000025,244.8,239,244.8,0.1453977,243.204517,3.83E+17
2015/6/27,170.1315464,240.0000024,250,240.0000024,250,0.6850492,248.3493834,3.38E+17
2015/6/28,0.59480794,245,249.99,245,249.99,0.0023851,249.3849068,3.46E+17
2015/6/29,62.7340424,249.99,255.675,246.9019234,255.67,0.24813333,252.823925,3.36E+17
2015/6/30,206.4143316,255.4181547,263.8815,255.1735262,259.365275,0.79627241,259.2257738,3.56E+17
2015/7/1,289.8816088,259,263.0575989,253.6585184,263.0575989,1.11678715,259.5674644,3.63E+17
2015/7/2,31.04867242,255.8398361,256.923049,255,255,0.12146926,255.6092992,3.4E+17
2015/7/3,19.14722713,255,256.2230105,255,256.2230105,0.07495767,255.4405324,3.96E+17
2015/7/4,92.01619297,256.2230105,257,253.4877948,257,0.3604844,255.2570735,3.71E+17
2015/7/5,403.8951278,257.5,276.5855313,254.5339209,266.99,1.52373963,265.0683357,3.77E+17
2015/7/6,358.5678849,270,300.9999993,266,268.0334897,1.32694264,270.2210888,3.99E+17
2015/7/7,92.56543244,265.2451202,267.65,262.8915427,262.8915427,0.34957736,264.7924123,3.65E+17
2015/7/8,368.4276511,267,276.4632192,263.482575,270,1.37499075,267.9491852,3.7E+17
2015/7/9,288.7726741,270.5888486,270.5888486,265.7751401,267.1,1.08194303,266.9019219,3.63E+17
2015/7/10,822.3774306,270.1,289.32575,270.1,286,2.93036512,280.6399192,3.51E+17
2015/7/11,522.0295594,265.41403,298.2585098,265.41403,290,1.81617427,287.433628,3.84E+17
2015/7/12,825.1447818,298.607925,312.2405404,296.1064952,312,2.7229989,303.0279527,3.58E+17
2015/7/13,1000.277538,307,307,270,288.888887,3.45833771,289.2365124,3.5E+17
2015/7/14,76.58335418,288.888887,292.8475,288.888887,288.888887,0.26486579,289.1402253,3.77E+17
2015/7/15,278.7628276,292.8475,292.8475,283.327916,283.327916,0.97443179,286.0773124,3.72E+17
2015/7/16,510.1835793,280.233,292.8475,280.233,281.4306652,1.79658941,283.9733867,3.67E+17
2015/7/17,268.2018623,281.4306652,281.4306652,274.7436002,280.134925,0.96289328,278.5374743,3.59E+17
2015/7/18,29.80335682,275.568525,275.57345,274.2438743,275.519275,0.10857075,274.506318,3.94E+17
2015/7/19,108.537709,281.454425,281.454425,272.909025,277.9999988,0.38709975,280.3869262,3.81E+17
2015/7/20,273.7847177,277.9999988,282.4979827,274.1482047,281.9264,0.97426167,281.0176426,3.8E+17
2015/7/21,327.6726747,282.5408348,285.9987813,279.1,279.860505,1.15062232,284.7786533,3.59E+17
2015/7/22,485.1067098,278,282.794225,278,278,1.72760321,280.7975274,3.6E+17
2015/7/23,51.5790752,278.0000045,278.0000045,278,278,0.18553624,278.0000026,3.83E+17
2015/7/24,167.5047101,278,284,278,284,0.59738719,280.3955507,3.93E+17
2015/7/25,211.1460755,283.753875,294.1683548,283.753875,283.931175,0.72172985,292.5555532,4.13E+17
2015/7/26,3.26348367,293.9237,293.9237,286.9036401,288.0534,0.01125044,290.0760928,3.78E+17
2015/7/27,256.0609463,285.4,293.1913197,284.866925,293.1913197,0.89737362,285.3448559,3.91E+17
2015/7/28,80.50339422,293.1062082,294.387149,290.3534355,291.4513376,0.27414151,293.6563464,3.85E+17
2015/7/29,428.8193556,294.0711012,299.4672167,291.4513376,295.1467913,1.44843368,296.0572938,3.65E+17
2015/7/30,239.1350855,292.3618352,293.3971971,284,284.6105566,0.82647886,289.3420474,3.72E+17
2015/7/31,29.23487883,284,287.882154,284,285.049,0.10279384,284.4030229,3.64E+17
2015/8/1,301.3763924,284,284,275.7245078,279.8450225,1.0811874,278.7457497,4.18E+17
2015/8/2,106.5638591,280,286.438075,280,286.438075,0.37397484,284.9492739,4.07E+17
2015/8/3,75.70679403,285.4383,288.9656443,284.286275,288.9656443,0.26392367,286.8510961,3.8E+17
2015/8/4,11.94721831,281.1044857,288,281.1044857,288,0.04194037,284.8620151,4.04E+17
2015/8/5,9.29752713,288.2,288.965425,279.7933141,287.5698,0.03223517,288.4280473,3.18E+17
2015/8/6,167.0897265,279.7933141,283.738175,275.637475,283.738175,0.59909152,278.9051771,3.71E+17
2015/8/7,62.18237138,277.2284906,277.2284906,275.9225,275.9225,0.22535742,275.9277746,3.81E+17
2015/8/8,1032.694718,280.9999101,282.235975,262.6476266,263,3.80112337,271.6814524,3.86E+17
2015/8/9,410.0076271,263,269.7581104,262.101,268.8634371,1.534615,267.1729568,3.76E+17
2015/8/10,9.52216239,266.2193236,266.2193236,262.1,266.2193236,0.03632447,262.1418123,4.17E+17
2015/8/11,247.4943668,266.2193236,269.2560459,261.6061534,269.2560459,0.94345384,262.3280084,4.53E+17
2015/8/12,682.1872798,269.2560459,275.6263664,263.3285949,265.413175,2.55771761,266.7172002,3.61E+17
2015/8/13,838.9864562,263.3925536,269.8772809,260,263,3.18938366,263.0559837,3.69E+17
2015/8/14,556.225754,260.143425,265,255,265,2.12871507,261.2964797,3.79E+17
2015/8/15,147.7385026,265,267,258.27685,258.27685,0.56467334,261.6353423,3.58E+17
2015/8/16,247.335249,257.8977707,264.818575,256.7642958,256.7642958,0.94027517,263.0456029,3.7E+17
2015/8/17,115.7064858,257.0000052,263.884775,257.0000052,262.3725522,0.44061774,262.6006065,3.59E+17
2015/8/18,2979.916801,262.3805916,262.3805916,174.5701339,178.7193125,12.5883254,236.7206682,3.82E+17
2015/8/19,5214.464408,191.3,241.876825,191.3,226.9999993,23.38265523,223.0056577,4E+17
2015/8/20,1900.495983,226.9999979,241.7577813,226.9999979,234,8.17811865,232.3879201,4.13E+17
2015/8/21,2623.030475,229.6563773,242.0500026,228,233.1300019,11.29758139,232.1762849,3.92E+17
2015/8/22,1097.990042,233.1300027,285,225,230.2595031,4.49126461,244.4723562,4.34E+17
2015/8/23,369.9253708,230.2595031,236.1495998,226.4385988,228.4526468,1.58811397,232.9337678,3.9E+17
2015/8/24,6440.355482,228.4526468,236.9999991,201.4575242,211,29.18247632,220.6925626,4.03E+17
2015/8/25,5064.274863,214.965,219.99,197.574,219.99,24.41200938,207.4501441,4.03E+17
2015/8/26,1337.598705,219.99,227.99,216.1582572,227.98,5.97199356,223.9785913,3.93E+17
2015/8/27,1607.020083,222,229.1994184,208.3,220,7.27322976,220.9499955,4.07E+17
2015/8/28,306.6931179,215.4287159,233.99,212.183456,230.14,1.3420665,228.5230411,3.91E+17
2015/8/29,925.5176462,232,235,220,235,4.08031906,226.8248224,4.42E+17
2015/8/30,973.4194511,226.9,226.9,211.0110021,215.025,4.37372302,222.5608358,4.14E+17
2015/8/31,624.0931904,215,226.9,211,225.04,2.85951487,218.2514233,4.3E+17
2015/9/1,995.5992031,226.117898,229.5,223.3247881,223.9447,4.41863979,225.3180278,3.96E+17
2015/9/2,391.7908874,226,233,222.2883058,226,1.7169761,228.1865702,4.27E+17
2015/9/3,163.1199069,226,232.6721355,224.3597186,231,0.70867829,230.1748328,4.09E+17
2015/9/4,272.2043564,225,231,225,231,1.18922843,228.8915649,4.3E+17
2015/9/5,1058.477596,231,238.99,226.5426421,233,4.56172397,232.0345561,4.34E+17
2015/9/6,746.7744991,233,243.2273348,233,237.7529,3.10942669,240.1646906,4.28E+17
2015/9/7,1928.740567,241.4,245,236.5,244.9,7.98058162,241.6791982,3.98E+17
2015/9/8,27.7990218,243.5,243.5,239.9,239.9,0.1156428,240.3869657,4.09E+17
2015/9/9,772.0191801,243,243,236.5,240.5999994,3.24558349,237.8676076,3.97E+17
2015/9/10,172.4108146,240.5999987,243.831,236.5,243.831,0.71449208,241.3054244,4.69E+17
2015/9/11,1385.384822,236.6000003,255,236.371,238.7,5.6440419,245.4596983,4.78E+17
2015/9/12,696.2005303,238.7,244.9070928,236.61,240,2.90768019,239.4350426,4.14E+17
2015/9/13,487.2095604,237.602,237.602,226.5,226.5,2.09062416,233.0450254,3.93E+17
2015/9/14,201.7063749,233.9778,233.9778,226.5000002,228.5000001,0.87604102,230.2476371,4.6E+17
2015/9/15,120.3383814,228.5000029,232.9999994,228.5000029,232.9999959,0.52268107,230.2329056,4.32E+17
2015/9/16,41.9559744,232.9999959,233.4735731,230.00003,230.0000301,0.18154864,231.1004611,4.46E+17
2015/9/17,99.69752976,231.4735731,235.6891562,231.4735731,232.5,0.42593405,234.0679966,3.92E+17
2015/9/18,61.31583346,232.7000001,238.264,232.5000005,238.264,0.25938538,236.388934,4.31E+17
2015/9/19,177.8420856,233.500001,235.8,231.4735731,234.47,0.76007611,233.9793125,4.03E+17
2015/9/20,67.14402084,234.47,234.47,231.4735731,234.47,0.28702629,233.9298635,3.64E+17
2015/9/21,374.6635975,233,233,227.1697866,227.49999,1.62687217,230.2968877,3.93E+17
2015/9/22,637.7034427,227.49999,232.4999999,225.91,226.516353,2.80596112,227.2673838,4.4E+17
2015/9/23,77.82579095,227.5413,232.4999999,227.5413,228,0.34079899,228.3627394,4.53E+17
2015/9/24,619.6479114,230.3,235,228,235,2.65084418,233.7549359,4.34E+17
2015/9/25,210.6232575,235.52,238.264,232.01,238,0.89900027,234.2860892,4.59E+17
2015/9/26,115.8507589,238,238,232.5,233.000001,0.4919394,235.4980287,4.72E+17
2015/9/27,28.9457349,233.000007,237.1,233.000007,233.0005008,0.12400911,233.4161974,4.29E+17
2015/9/28,8239.104417,237.0999827,243.493875,232,243.2,34.27563236,240.3778968,4.08E+17
2015/9/29,6796.320231,243.2,245.4999,234.68665,242,28.18567544,241.126747,4.88E+17
2015/9/30,680.5238397,242.14,245.4,233.000001,238,2.84086256,239.5483151,4.78E+17
2015/10/1,244.7681036,236,242.7,236,242.7,1.01437994,241.2982493,4.51E+17
2015/10/2,458.5782888,242.3,243.5403,236.20001,240,1.89239444,242.3270113,3.96E+17
2015/10/3,30.56132704,241.6754878,242.999,237.99,242.979,0.12696552,240.7057211,4.4E+17
2015/10/4,53.28731742,238.1672553,242.979,237.99,242.969,0.2222369,239.7770911,4.67E+17
2015/10/5,131.7699273,238.8,242.969,236.979,236.98,0.55357074,238.0362939,4.6E+17
2015/10/6,520.0335239,238.0878687,249.7664,236.98,242.25,2.12774899,244.405485,4.45E+17
2015/10/7,586.7269441,242.25,252.38676,241,243,2.38177222,246.3404935,4.16E+17
2015/10/8,262.5135277,248.4999993,248.4999993,242.06,242.3000024,1.06729223,245.9621839,4.16E+17
2015/10/9,443.0758337,246.89,246.89,242,244,1.81916301,243.5602699,4.22E+17
2015/10/10,101.5146638,246.4,246.5,242.4002001,243.1,0.41406883,245.1637421,4.11E+17
2015/10/11,950.0603872,243.1,248.2821062,243.1,248.2821059,3.85520843,246.4355441,4.82E+17
2015/10/12,195.0173294,243.5092607,248.3794452,243.5092607,244.6001001,0.79457878,245.4348571,4.33E+17
2015/10/13,280.8332332,244.6001001,250.3999988,244.6001001,248.472102,1.13392001,247.6658236,4.17E+17
2015/10/14,736.3953053,250.3877765,257.2620837,247.1582975,252.2999729,2.92851324,251.4570517,4.5E+17
2015/10/15,1223.808798,254,262.6681347,251.0260698,259.2432,4.75728064,257.2496538,4.77E+17
2015/10/16,796.7974863,259.5033,266.080983,254.0095455,266.080983,3.0572596,260.6247393,4.76E+17
2015/10/17,699.356047,266,277.6389,261,267.0421818,2.60201111,268.7751964,4.16E+17
2015/10/18,1209.76779,273,273,261,270,4.53847974,266.5579356,4.25E+17
2015/10/19,205.739734,261.5,270,261.5,263.0000002,0.77363988,265.9373428,4.85E+17
2015/10/20,1011.068563,267.4440008,275.5,262,275.49999,3.74987663,269.6271539,4.28E+17
2015/10/21,2331.378352,275.49999,275.49999,261.9246,266.3,8.71138575,267.6242814,4.12E+17
2015/10/22,2238.984969,266.3,276.147,261,276.147,8.3713384,267.4584233,4.77E+17
2015/10/23,917.3983253,270.31,284.2994989,270.31,277.8621297,3.29078025,278.7783612,4.42E+17
2015/10/24,435.8748569,278.4989952,283.9255053,278.4989952,280.00001,1.55954079,279.4892315,4.42E+17
2015/10/25,4739.141312,283.06,298.74,281.6022763,287.8500002,16.3272806,290.2590718,4.67E+17
2015/10/26,3372.452971,287.8500002,291.0163499,279,281.5,11.84687062,284.6703639,4.63E+17
2015/10/27,5466.312948,281.6,298.5,281,297.499994,18.82810128,290.3273605,4.79E+17
2015/10/28,6478.980433,297.6999626,307.75,281.0163348,295.1976899,21.61308183,299.7712443,4.34E+17
2015/10/29,7229.670272,295.5,314.6753,293.313633,312.5999989,23.31888266,310.0350209,4.33E+17
2015/10/30,15426.06825,312.5999989,326.8700001,307.1,326.8700001,48.43007412,318.5224994,4.99E+17
2015/10/31,9455.355345,326.8700001,332,306.4596992,310,29.68975229,318.4720186,5.09E+17
2015/11/1,1128.354132,312.0801173,328.9620041,312.0801173,326.7444617,3.49849756,322.5253449,4.68E+17
2015/11/2,10188.31648,326.744471,370.026025,320.366901,369.0295815,28.73601239,354.5487223,4.74E+17
2015/11/3,28008.47376,366.1,424,355.875,400,72.386865,386.9275698,4.92E+17
2015/11/4,50090.55955,399.99,477,359.4896557,393,117.3187737,426.9611587,4.71E+17
2015/11/5,22723.78032,393,416.0580007,366.7109706,383.1,57.94694772,392.1480114,4.61E+17
2015/11/6,15753.90616,382.5,398.8888889,350,379,42.55701272,370.1835526,4.51E+17
2015/11/7,14135.54768,367.3000989,397.3333333,367.3000989,390.9999999,36.73375642,384.8108404,4.75E+17
